262|9504|1458|100|250|1|9506|1
262|9504|2952|250|250|1|9510|1
1096|1098|1828|4|4|6|1056|1
1056|1096|1828|15|30|15|1804|1
611|874|0|100|15|0|1552|1
1056|1828|1098|40|50|200|1824|1
1828|1096|1058|2|7|7|1826|1
1056|1828|1058|10|20|50|3074|1
10322|10324|10326|1|1|1|10328|1
898|4538|5018|2|1|1|5022|1
2274|5026|5028|1|5|20|5060|1
2274|5028|5024|1|5|20|5054|1
2274|5024|5030|1|5|20|5058|1
2274|5030|5026|1|5|20|5056|1
2492|5028|5026|1|20|5|5050|1
2492|5024|5028|1|20|5|5046|1
2492|5030|5024|1|20|5|5052|1
2492|5026|5030|1|20|5|5048|1
3946|5060|5028|100|4|5|5070|1
3838|5054|5024|200|4|5|5072|1
340|5058|5030|200|4|5|5074|1
2272|5056|5026|30|4|5|5076|1
5050|5048|5028|2|2|5|5066|1
5046|5052|5024|2|2|5|5062|1
5052|5050|5030|2|2|5|5068|1
5048|5046|5026|2|2|5|5064|1
5070|5066|5064|1|2|5|5080|1
5076|5068|5066|1|2|5|5082|1
5072|5064|5062|1|2|5|5084|1
5074|5062|5068|1|2|5|5078|1
362|386|1458|1|200|1|1460|1
364|386|1458|1|200|1|1462|1
1470|386|1458|1|200|1|1466|1
366|386|1458|1|200|1|1464|1
2388|386|1458|1|20|1|2386|1
2390|386|1458|1|20|1|2392|1
2384|386|1458|1|20|1|2394|1
4412|386|1458|1|20|1|4414|1
4416|386|1458|1|20|1|4420|1
5644|386|1458|1|20|1|5646|1
5648|386|1458|1|20|1|5650|1
7826|386|1458|1|200|1|7828|1
7830|386|1458|1|200|1|7832|1
7826|7830|1458|1|1|1|7834|1
9320|386|1458|1|200|1|9322|1
9342|9340|1458|1|1|1|9344|1
9324|386|1458|1|200|1|9326|1
7388|386|390|1|200|50|10650|1
7386|386|390|1|200|50|10648|1
10632|386|1458|1|200|1|10634|1
8486|386|1458|1|200|1|10644|1
9314|1800|186|1|1|200|9316|1
1506|8794|4406|1|1|1|9318|1
914|916|924|5|5|10|770|1
914|916|920|30|4|1|906|1
914|916|918|10|5|1|902|3
914|924|920|5|4|2|926|5
914|924|918|6|3|4|1114|1
914|920|918|15|4|2|978|4
916|924|918|10|3|3|772|1
916|920|918|2|4|3|904|1
924|920|918|20|10|5|922|1
914|916|922|20|10|1|1162|1
914|920|922|10|2|1|1746|5
914|918|922|20|15|10|1542|1
916|924|922|8|4|1|2588|1
916|918|922|1|1|1|1866|1
924|920|922|3|3|3|908|1
924|918|922|4|3|1|1310|1
920|918|922|200|200|200|910|1
914|922|1962|10|10|10|4582|1
916|924|1962|9|5|1|4552|1
1354|1310|8284|1|1|1|1789|1
1492|1396|1352|1|1|1|1787|1
